iter	Passed	Remaining
406	6518	9497
407	6531	9477
408	6545	9457
409	6560	9440
410	6574	9421
411	6587	9401
412	6603	9385
413	6618	9368
414	6635	9353
415	6652	9339
416	6669	9324
417	6687	9310
418	6704	9296
419	6721	9282
420	6737	9266
421	6754	9251
422	6771	9236
423	6788	9222
424	6807	9210
425	6824	9195
426	6843	9182
427	6859	9167
428	6873	9149
429	6890	9133
430	6906	9117
431	6922	9101
432	6940	9088
433	6955	9070
434	6971	9055
435	6989	9041
436	7007	9027
437	7023	9011
438	7038	8994
439	7054	8978
440	7073	8966
441	7090	8950
442	7106	8935
443	7121	8918
444	7137	8901
445	7152	8884
446	7168	8868
447	7186	8854
448	7203	8839
449	7221	8825
450	7236	8809
451	7252	8793
452	7269	8778
453	7285	8761
454	7300	8745
455	7318	8730
456	7334	8714
457	7350	8698
458	7368	8684
459	7383	8667
460	7400	8652
461	7415	8635
462	7431	8619
463	7449	8605
464	7469	8593
465	7483	8576
466	7500	8560
467	7516	8544
468	7533	8529
469	7549	8513
470	7567	8499
471	7583	8483
472	7598	8465
473	7614	8449
474	7631	8434
475	7647	8418
476	7663	8403
477	7682	8389
478	7700	8375
479	7716	8359
480	7732	8342
481	7748	8326
482	7765	8311
483	7780	8294
484	7797	8279
485	7814	8264
486	7829	8247
487	7847	8232
488	7864	8218
489	7879	8201
490	7896	8186
491	7914	8172
492	7932	8157
493	7950	8143
494	7975	8136
495	7995	8124
496	8016	8112
497	8033	8098
498	8050	8082
499	8068	8068
500	8082	8050
501	8097	8033
502	8112	8016
503	8128	7999
504	8144	7983
505	8160	7967
506	8178	7952
507	8195	7937
508	8212	7922
509	8227	7905
510	8242	7887
511	8259	7871
512	8275	7856
513	8292	7840
514	8308	7824
515	8322	7806
516	8336	7788
517	8350	7770
518	8365	7752
519	8380	7735
520	8394	7717
521	8410	7701
522	8422	7682
523	8438	7665
524	8452	7647
525	8467	7630
526	8482	7612
527	8495	7594
528	8510	7577
529	8524	7559
530	8537	7540
531	8555	7526
532	8568	7507
533	8583	7490
534	8599	7474
