iter	Logloss
0	0.6311970484
1	0.5752148045
2	0.5247677551
3	0.4792990914
4	0.438473992
5	0.401787774
6	0.3687981952
7	0.3392960304
8	0.3127753381
9	0.2889839087
10	0.2677353073
11	0.2486925079
12	0.2316072462
13	0.2162716858
14	0.2025013426
15	0.1900876786
16	0.1789377174
17	0.1689100044
18	0.1598184256
19	0.1516602666
20	0.1442949297
21	0.137587393
22	0.1315586175
23	0.1260961295
24	0.1211396515
25	0.11663263
26	0.1125445088
27	0.1088154501
28	0.1054103901
29	0.1023250221
30	0.09948599677
31	0.09690784225
32	0.09455315899
33	0.09239905985
34	0.0904102793
35	0.0885982666
36	0.08693057635
37	0.08539509147
38	0.08399124487
39	0.08269729867
40	0.08151276685
41	0.08040972713
42	0.0794025725
43	0.07847477154
44	0.07762293189
45	0.07683680971
46	0.07610332899
47	0.07541747797
48	0.0742015674
49	0.07363891466
50	0.07289131379
51	0.07241367131
52	0.07180862181
53	0.07122139685
54	0.07085317832
55	0.07051389984
56	0.07019735696
57	0.06990472295
58	0.06947596476
59	0.06922442555
60	0.06885919252
61	0.06823872022
62	0.06767181499
63	0.06750133267
64	0.06733947202
65	0.0671878539
66	0.06704918752
67	0.06676507323
68	0.06647622604
69	0.06604000819
70	0.06582278265
71	0.06560493194
72	0.06524978121
73	0.06516732354
74	0.06484751657
75	0.06478724042
76	0.0644979303
77	0.06423121252
78	0.06410401599
79	0.06386672192
80	0.06374784335
81	0.06371383987
82	0.06353634956
83	0.0635029899
84	0.06338247478
85	0.06317371051
86	0.06300001798
87	0.062907486
88	0.06275179097
89	0.06266222414
90	0.06252178761
91	0.06237360466
92	0.06227393927
93	0.06224060145
94	0.06220421835
95	0.06209132732
96	0.06207752088
97	0.06201626919
98	0.06200277123
99	0.06190028398
100	0.06188510095
101	0.06183899109
102	0.06174636761
103	0.06166021562
104	0.06165011261
105	0.06155751622
106	0.06151945867
107	0.06143492616
108	0.06141559655
109	0.06140582791
110	0.06136027139
111	0.06135194165
112	0.06130210095
113	0.06129286395
114	0.06128407258
115	0.06127301718
116	0.06126597381
117	0.06123246597
118	0.06120890527
119	0.06117761787
120	0.06117184185
121	0.06116201774
122	0.06115396114
123	0.06112200868
124	0.06109973284
125	0.06109325386
126	0.06108326488
127	0.06102669709
128	0.06101946659
129	0.0609854544
130	0.06097820902
131	0.06092575377
132	0.06091151035
133	0.06090175291
134	0.06089155709
135	0.0608824193
136	0.06086614112
137	0.06086056119
138	0.06081290288
139	0.0608007112
140	0.06079660482
141	0.0607856532
142	0.06074667862
143	0.06073477982
144	0.06069164691
145	0.06068754978
146	0.06067733918
147	0.06067011248
148	0.06065935384
149	0.06065110262
150	0.06064200261
151	0.06062568528
152	0.06061501032
153	0.0606087368
154	0.06059616816
155	0.0605871519
156	0.06054696814
157	0.06050934506
158	0.06048486114
159	0.06046506786
160	0.0604429016
161	0.06043229519
162	0.06041642925
163	0.06040329089
164	0.06036634747
165	0.06035824914
166	0.06035596304
167	0.06034824033
168	0.06034229174
169	0.06033822216
170	0.06033211578
171	0.06031804888
172	0.06030855138
173	0.06030202792
174	0.06029667115
